Unnamed: 0,age,gender,height,weight,Fitbit.Steps_LE,Fitbit.Heart_LE,Fitbit.Calories_LE,Fitbit.Distance_LE,EntropyFitbitHeartPerDay_LE,EntropyFitbitStepsPerDay_LE,RestingFitbitHeartrate_LE,CorrelationFitbitHeartrateSteps_LE,NormalizedFitbitHeartrate_LE,FitbitIntensity_LE,SDNormalizedFitbitHR_LE,FitbitStepsXDistance_LE,activity_trimmed
1145,25,1,160,75,165,143,73,253,6.1628904367988,4.23209672936501,6.125,0.805171228699669,136.875,0.724685638649901,3.36420498924437,41745,Self Pace walk
1146,25,1,160,75,165,143.428571428571,73,253,6.1628904367988,4.23209672936501,6.125,0.912423953306851,137.303571428571,0.72695471305663,5.80637400670669,41745,Self Pace walk
1147,25,1,160,75,166,141.857142857143,71,255,6.1628904367988,4.23209672936501,6.125,0.931296134796189,135.732142857143,0.718634773565284,7.65527509379532,42330,Self Pace walk
1148,25,1,160,75,164,145.25,69,252,6.1628904367988,4.23209672936501,6.125,0.942169411089362,139.125,0.736598279285242,8.54483469032487,41328,Self Pace walk
1149,25,1,160,75,161,147.125,71,248,6.1628904367988,4.23209672936501,6.125,0.948420912063133,141,0.746525479814692,9.22430686579738,39928,Self Pace walk
1150,25,1,160,75,25,136,69,308,6.1628904367988,4.23209672936501,6.125,0.950725375435173,129.875,0.687624090006618,9.31362537241418,7700,Self Pace walk
1151,25,1,160,75,1,128.636363636364,68,1,6.1628904367988,4.23209672936501,6.125,0.906593781471534,122.511363636364,0.648637266109141,8.84432101943374,1,Self Pace walk
1152,25,1,160,75,1,124.777777777778,68,1,6.1628904367988,4.23209672936501,6.125,0.916107170971013,118.652777777778,0.628207956467388,9.39520694932433,1,Lying
1153,25,1,160,75,1,125.1,38,1,6.1628904367988,4.23209672936501,6.125,0.917554834690761,118.975,0.629913964262078,10.0744748095915,1,Lying
1154,25,1,160,75,1,125.090909090909,2.5,1,6.1628904367988,4.23209672936501,6.125,0.903549236393879,118.965909090909,0.629865832380723,11.9381483794282,1,Lying
1155,25,1,160,75,1,126.5,2.5,1,6.1628904367988,4.23209672936501,6.125,-0.0684445786915018,120.375,0.637326273990735,37.698166871402,1,Lying
1156,25,1,160,75,171,137.363636363636,2.5,262,6.1628904367988,4.23209672936501,6.125,-0.192083596109867,131.238636363636,0.694843872209853,43.2706604224608,44802,Lying
1157,25,1,160,75,170,146.333333333333,2.5,260,6.1628904367988,4.23209672936501,6.125,-0.277445067978682,140.208333333333,0.7423339951467,45.1668251504804,44200,Lying
1158,25,1,160,75,176,149.8,47,270,6.1628904367988,4.23209672936501,6.125,-0.346902390110827,143.675,0.760688285903375,46.3265524058334,47520,Running 3 METs
1159,25,1,160,75,184,157.818181818182,65,280,6.1628904367988,4.23209672936501,6.125,-0.43418235946194,151.693181818182,0.803140605258409,47.864806126943,51520,Running 3 METs
1160,25,1,160,75,184,22.6363636363636,73,280,6.1628904367988,4.23209672936501,6.125,-0.517374603367095,16.5113636363636,0.0874195295108596,49.072958602664,51520,Running 3 METs
1161,25,1,160,75,183,56.6,79,278,6.1628904367988,4.23209672936501,6.125,-0.56912268660426,50.475,0.267240238252813,49.9103971668992,50874,Running 3 METs
1162,25,1,160,75,4,158.166666666667,89,282,6.1628904367988,4.23209672936501,6.125,-0.540657558210684,152.041666666667,0.804985660710348,50.2851321037957,1128,Running 3 METs
1163,25,1,160,75,7,153,79,285,6.1628904367988,4.23209672936501,6.125,-0.621235990045582,146.875,0.777630708140304,50.4980535348485,1995,Running 3 METs
1164,25,1,160,75,5,161.25,89,283,6.1628904367988,4.23209672936501,6.125,-0.77235731159562,155.125,0.821310390469888,50.2270784760257,1415,Running 3 METs
1165,25,1,160,75,7,161.222222222222,79,285,6.1628904367988,4.23209672936501,6.125,-0.679361942344128,155.097222222222,0.821163320832413,31.7351726737467,1995,Running 3 METs
1166,25,1,160,75,6,159.454545454545,75,284,6.1628904367988,4.23209672936501,6.125,0.0437986052025587,153.329545454545,0.81180434390229,4.28253959127222,1704,Running 3 METs
1167,25,1,160,75,176,155.75,77,270,6.1628904367988,4.23209672936501,6.125,0.110107150931092,149.625,0.792190602250165,4.5131498653344,47520,Running 3 METs
1168,25,1,160,75,1,155,71,1,6.1628904367988,4.23209672936501,6.125,-0.113657111109981,148.875,0.788219722038385,4.86963769124612,1,Running 3 METs
1169,25,1,160,75,1,152,75,1,6.1628904367988,4.23209672936501,6.125,-0.0280715038950972,145.875,0.772336201191264,4.40990912370318,1,Running 3 METs
1170,25,1,160,75,1,150.25,69,1,6.1628904367988,4.23209672936501,6.125,0.0686477919404032,144.125,0.763070814030443,3.57034806050972,1,Lying
1171,25,1,160,75,1,150,5,1,6.1628904367988,4.23209672936501,6.125,0.187736731942621,143.875,0.761747187293183,5.46463157975632,1,Lying
1172,25,1,160,75,1,150,2.5,1,6.1628904367988,4.23209672936501,6.125,-0.018803233109587,143.875,0.761747187293183,46.1892391084069,1,Lying
1173,25,1,160,75,118,148.875,2.5,198,6.1628904367988,4.23209672936501,6.125,0.0107609319552939,142.75,0.755790866975513,60.149181368412,23364,Lying
1174,25,1,160,75,24,149.666666666667,3.5,307,6.1628904367988,4.23209672936501,6.125,0.047214063916815,143.541666666667,0.759982351643505,68.4701692416447,7368,Lying
1175,25,1,160,75,26,155.8,37,309,6.1628904367988,4.23209672936501,6.125,0.118867172905154,149.675,0.792455327597617,72.966821584676,8034,Running 5 METs
1176,25,1,160,75,24,136.833333333333,63.5,307,6.1628904367988,4.23209672936501,6.125,0.230988365419316,130.708333333333,0.692036179130817,74.4579291138554,7368,Running 5 METs
1177,25,1,160,75,22,4.66666666666667,78,304,6.1628904367988,4.23209672936501,6.125,0.405702945194787,-1.45833333333333,-0.00772115596735052,73.177649546218,6688,Running 5 METs
1178,25,1,160,75,24,9.33333333333333,93.5,307,6.1628904367988,4.23209672936501,6.125,-0.0908161343700036,3.20833333333333,0.0169865431281712,67.9058538832797,7368,Running 5 METs
1179,25,1,160,75,27,8.14285714285714,19,310,6.1628904367988,4.23209672936501,6.125,0.11414696397447,2.01785714285714,0.0106835586650279,69.4424128517266,8370,Running 5 METs
1180,25,1,160,75,26,8,20.5,309,6.1628904367988,4.23209672936501,6.125,0.509637656360777,1.875,0.0099272005294507,70.2021650883569,8034,Running 5 METs
1181,25,1,160,75,26,6.125,20.5,309,6.1628904367988,4.23209672936501,6.125,0.371036570979227,0,0,71.6690952069087,8034,Running 5 METs
1182,25,1,160,75,26,2.22222222222222,20.5,309,6.1628904367988,4.23209672936501,6.125,0.230528287096581,-3.90277777777778,-0.0206632840650048,72.3469187756922,8034,Running 5 METs
1183,25,1,160,75,26,94.3333333333333,14.5,309,6.1628904367988,4.23209672936501,6.125,0.316706420125433,88.2083333333333,0.467019633796602,70.7252893279094,8034,Running 5 METs
1184,25,1,160,75,26,159.5,96.5,309,6.1628904367988,4.23209672936501,6.125,0.349353041285918,153.375,0.812045003309067,66.5135188520547,8034,Running 5 METs
1185,25,1,160,75,123,160.6,91.5,203,6.1628904367988,4.23209672936501,6.125,0.332955799088283,154.475,0.817868960953011,59.0146427012639,24969,Running 5 METs
1186,25,1,160,75,1,148.125,91.5,1,6.1628904367988,4.23209672936501,6.125,0.263527862214929,142,0.751819986763733,46.7007708863974,1,Running 5 METs
1187,25,1,160,75,1,135.333333333333,90.5,1,6.1628904367988,4.23209672936501,6.125,0.129255814063382,129.208333333333,0.684094418707256,38.0210943759567,1,Sitting
1188,25,1,160,75,146,132.333333333333,73,229,6.1628904367988,4.23209672936501,6.125,0.114523185257409,126.208333333333,0.668210897860135,45.4449711571,33434,Sitting
1189,25,1,160,75,146,134.090909090909,49,229,6.1628904367988,4.23209672936501,6.125,0.264226940901381,127.965909090909,0.677516394922086,49.0518042993639,33434,Sitting
1190,25,1,160,75,125,132.6,54.5,205,6.1628904367988,4.23209672936501,6.125,0.190911722544061,126.475,0.669622766379881,48.8766104003197,25625,Sitting
1191,25,1,160,75,56,101.181818181818,56.5,6,6.1628904367988,4.23209672936501,6.125,0.470633694712605,95.056818181818,0.503278984417302,47.1614219703452,336,Sitting
1192,25,1,160,75,57,34.2222222222222,46,139,6.1628904367988,4.23209672936501,6.125,0.895912752574426,28.0972222222222,0.148760938304287,44.9185081532701,7923,Sitting
1193,25,1,160,75,56,41.4285714285714,82,137,6.1628904367988,4.23209672936501,6.125,0.871406860753542,35.3035714285714,0.186915004254514,40.7658476815748,7672,Running 7 METs
1194,25,1,160,75,56,38.8888888888889,16,137,6.1628904367988,4.23209672936501,6.125,0.803811322858479,32.7638888888889,0.173468637399809,32.9479307404064,7672,Running 7 METs
1195,25,1,160,75,56,40.4285714285714,17,137,6.1628904367988,4.23209672936501,6.125,-0.141244439330651,34.3035714285714,0.181620497305474,19.1538180312234,7672,Running 7 METs
1196,25,1,160,75,56,43.25,20.5,137,6.1628904367988,4.23209672936501,6.125,0.627538352445344,37.125,0.196558570483124,3.38441073770609,7672,Running 7 METs
1197,25,1,160,75,57,42,24.5,139,6.1628904367988,4.23209672936501,6.125,0.412069841246625,35.875,0.189940436796823,2.24081384327088,7923,Running 7 METs
1198,25,1,160,75,59,42.3333333333333,25.5,141,6.1628904367988,4.23209672936501,6.125,0.793715199421029,36.2083333333333,0.191705272446503,7.84055974030844,8319,Running 7 METs
1199,25,1,160,75,62,46.2727272727273,20.5,148,6.1628904367988,4.23209672936501,6.125,-0.304980416160001,40.1477272727273,0.212562421033632,13.6677839741466,9176,Running 7 METs
1200,25,1,160,75,60,45,14.5,144,6.1628904367988,4.23209672936501,6.125,-0.468667927983816,38.875,0.205823957643944,41.9925190702062,8640,Running 7 METs
1201,25,1,160,75,60,43.4,16,144,6.1628904367988,4.23209672936501,6.125,-0.396000245928651,37.275,0.19735274652548,42.0605469537264,8640,Running 7 METs
1202,25,1,160,75,114,44.8181818181818,18.5,217,6.1628904367988,4.23209672936501,6.125,-0.351465945915657,38.6931818181818,0.204861320016846,42.0500071971291,24738,Running 7 METs
1203,25,1,160,75,1,19.125,12.5,1,6.1628904367988,4.23209672936501,6.125,1,13,0.0688285903375248,42.2221766722445,1,Running 7 METs
1204,25,1,160,75,152,5.28571428571429,10.5,234,6.1628904367988,4.23209672936501,6.125,1,-0.83928571428571,-0.004443604046516,42.830295642666,35568,Running 7 METs
1205,25,1,160,75,14,162.444444444444,19,292,6.1628904367988,4.23209672936501,6.125,1,156.319444444444,0.827634384881239,43.6868535707367,4088,Running 7 METs
1206,25,1,160,75,1,39.8888888888889,14.5,1,6.1628904367988,4.23209672936501,6.125,1,33.7638888888889,0.178763144348849,44.9160563473932,1,Running 7 METs
1207,25,1,160,75,1,42.5873015873016,20.5,1,6.1628904367988,4.23209672936501,6.125,1,36.4623015873016,0.193049909131974,45.7290359090976,1,Running 7 METs
2695,22,0,168,62,4,63.5,2,282,4.43715733473776,3.39010261822172,10.1111111111111,1,53.3888888888889,0.284151389710231,38.2832750119689,1128,Lying
2696,22,0,168,62,184,111.555555555556,1,280,4.43715733473776,3.39010261822172,10.1111111111111,1,101.444444444445,0.53991720875222,38.5279577671018,51520,Lying
2697,22,0,168,62,184,84.5,1,280,4.43715733473776,3.39010261822172,10.1111111111111,1,74.3888888888889,0.39591957421644,37.8400581396239,51520,Lying
2698,22,0,168,62,183,2.9,1,278,4.43715733473776,3.39010261822172,10.1111111111111,1,-7.2111111111111,-0.0383796570076877,36.9661049396765,50874,Lying
